Geneid	X009_DMSO_1	X009_DMSO_2	X126_DES_10	X126_DES_6	X126_DMSO	X236_DES_10	X236_DES_6	X236_DMSO	X868_DES_10	X868_DES_6	X868_DMSO	Z405_DMSO_1	Z405_DMSO_2
ENSG00000223972	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227232	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278267	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269981	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239906	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279457	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286448	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	1	0	3	0	1	0	0	0	1	1	2	0	0
ENSG00000225630	5	2	0	0	0	0	5	6	23	44	5	1	43
ENSG00000237973	6	2	7	0	4	4	4	6	5	17	4	5	3
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	0	0	0	0	2	0	2	1	3	1	1	0	0
ENSG00000240409	0	0	0	0	0	0	0	1	0	1	1	0	0
ENSG00000248527	124	102	77	125	226	111	139	106	199	403	167	186	61
ENSG00000198744	0	4	0	0	3	0	1	0	0	2	0	0	0
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0	0
